"ID","Date","opgSD","oxyures","opgPEQ"
"W675",17/06/2015,0,0,0
"W679",17/06/2015,0,0,0
"W656",17/06/2015,0,0,0
"W665",17/06/2015,0,0,0
"W672",17/06/2015,0,1,0
"W657",17/06/2015,0,0,0
"W646",17/06/2015,0,0,0
"W667",17/06/2015,150,0,0
"W668",17/06/2015,0,0,0
"W649",17/06/2015,0,0,0
"W641",17/06/2015,0,0,0
"W632",17/06/2015,0,0,0
"W661",17/06/2015,0,0,0
"W636",17/06/2015,0,0,0
"W654",17/06/2015,0,0,0
"W637",17/06/2015,0,0,0
"W643",17/06/2015,0,0,0
"W642",17/06/2015,0,0,0
"W652",17/06/2015,0,0,0
"W666",17/06/2015,0,0,0
"W675",10/07/2015,100,0,0
"W679",10/07/2015,0,0,0
"W656",10/07/2015,0,0,0
"W665",10/07/2015,0,0,0
"W672",10/07/2015,0,1,0
"W657",10/07/2015,0,0,0
"W646",10/07/2015,0,0,0
"W667",10/07/2015,350,0,0
"W668",10/07/2015,0,0,0
"W649",10/07/2015,0,0,0
"W641",10/07/2015,0,0,0
"W632",10/07/2015,0,0,0
"W661",10/07/2015,0,0,0
"W636",10/07/2015,0,0,0
"W654",10/07/2015,0,0,0
"W637",10/07/2015,0,0,0
"W643",10/07/2015,0,0,0
"W642",10/07/2015,0,0,0
"W652",10/07/2015,0,0,0
"W666",10/07/2015,0,0,0
"W675",30/07/2015,0,0,0
"W679",30/07/2015,0,0,0
"W656",30/07/2015,0,0,0
"W665",30/07/2015,0,0,0
"W672",30/07/2015,0,1,0
"W657",30/07/2015,0,0,0
"W646",30/07/2015,0,0,0
"W667",30/07/2015,0,0,0
"W668",30/07/2015,0,0,0
"W649",30/07/2015,0,0,0
"W641",30/07/2015,0,0,0
"W632",30/07/2015,0,0,0
"W661",30/07/2015,0,0,0
"W636",30/07/2015,0,0,0
"W654",30/07/2015,0,0,0
"W637",30/07/2015,0,0,0
"W643",30/07/2015,0,0,0
"W642",30/07/2015,0,0,0
"W652",30/07/2015,0,0,0
"W666",30/07/2015,0,0,0
"W675",17/09/2015,550,0,0
"W679",17/09/2015,0,0,0
"W656",17/09/2015,100,0,0
"W665",17/09/2015,50,0,0
"W672",17/09/2015,200,1,0
"W657",17/09/2015,0,0,0
"W646",17/09/2015,150,0,0
"W667",17/09/2015,350,0,0
"W668",17/09/2015,100,0,0
"W649",17/09/2015,0,0,0
"W641",17/09/2015,0,0,0
"W632",17/09/2015,100,0,0
"W661",17/09/2015,0,0,0
"W636",17/09/2015,0,0,0
"W654",17/09/2015,0,0,0
"W637",17/09/2015,0,0,0
"W643",17/09/2015,0,0,0
"W642",17/09/2015,50,0,0
"W652",17/09/2015,700,0,0
"W666",17/09/2015,200,0,0
"W632",26/10/2015,300,0,0
"W636",26/10/2015,0,0,0
"W637",26/10/2015,850,0,0
"W641",26/10/2015,0,0,0
"W642",26/10/2015,0,0,0
"W643",26/10/2015,0,0,0
"W646",26/10/2015,300,0,0
"W649",26/10/2015,0,0,0
"W652",26/10/2015,300,0,0
"W654",26/10/2015,50,0,0
"W656",26/10/2015,200,0,0
"W657",26/10/2015,0,0,0
"W661",26/10/2015,150,0,0
"W665",26/10/2015,100,0,0
"W666",26/10/2015,700,0,0
"W667",26/10/2015,550,0,0
"W668",26/10/2015,300,0,0
"W672",26/10/2015,450,0,0
"W675",26/10/2015,450,0,0
"W679",26/10/2015,50,0,0
